"","V1","V2","V3","V4","V5","V6","V7"
"104",464887.3119,1.5387,-1.2754,1.6303,-0.2207,-0.1685,13.1972
"99",464887.342061,4.0119,2.0222,1.0079,3.225,3.6828,13.0004
"308",464887.678856,-0.2694,-0.1817,-0.1977,-0.3925,-1.3191,-1.1824
"163",464887.709038,0.4187,0.7831,-0.9824,-0.7032,-0.6892,0.4155
"265",464887.739189,0.3218,0.3986,-1.1651,-0.5553,-1.0511,-0.2159
"192",464887.76934,0.4158,0.3411,-1.0862,-0.4162,0.1968,-0.5487
"137",464887.799522,0.7048,-0.2968,-0.6659,-0.6835,0.2723,-0.8019
"143",464887.829674,0.8257,0.06,-0.5697,-0.7577,0.6301,-0.7512
"190",464887.859825,0.906,0.1548,-0.3547,0.0062,0.6316,-1.0486
"333",464887.890007,0.8788,0.189,-0.2135,0.5023,0.5139,-0.3815
"385",464887.920158,0.77,-0.0213,8e-04,-0.1829,0.5211,0.4926
"250",464887.95031,0.8178,0.2438,0.1368,0.8172,-0.5985,-0.1968
"368",464887.985496,0.6215,0.3254,0.1019,1.0382,-0.4767,0.4557
"284",464888.015648,0.5375,0.3705,-0.0689,1.4621,-0.0151,0.9496
"34",464888.04583,0.5175,0.0883,-0.1641,0.4868,0.1142,-0.3353
"49",464888.075981,0.5694,-0.1034,-0.2072,-1.1621,0.4101,0.2167
"164",464888.106132,0.5724,0.0197,-0.2963,-1.4024,0.2022,0.4865
"323",464888.136314,0.4825,0.0667,-0.4768,0.073,0.1626,1.5737
"154",464888.166466,0.4811,-0.1033,-0.625,0.4892,0.6857,0.4829
"380",464888.196617,0.5186,0.1258,-0.4829,0.7488,0.7729,1.3428
"108",464888.226799,0.4351,0.1233,-0.2835,0.5832,1.0156,1.2524
"244",464888.256956,0.4844,0.0337,-0.1059,0.4241,0.5801,0.8436
"122",464888.287138,0.405,0.0851,-0.0725,0.3246,0.4358,0.9333
"223",464888.317289,0.3695,0.0679,-0.0545,0.0997,0.4797,0.4157
"321",464888.347441,0.3943,0.006,-0.0366,-0.2637,0.6319,0.4302
"130",464888.377623,0.4002,0.0041,-0.0506,-0.3871,0.6605,0.3961
"125",464888.407774,0.4331,-0.0184,-0.0983,-0.3419,0.4885,0.2055
"157",464888.437925,0.4666,-0.027,-0.1135,-0.3223,0.3287,0.2921
"117",464888.468107,0.4113,-0.0604,-0.1267,-0.0453,0.2999,0.4141
"153",464888.498259,0.4213,-0.0296,0.1942,-0.1248,-0.7412,0.264
"376",464888.52841,-0.0582,-0.1274,0.0187,-0.2718,0.0393,-0.0812
"360",464888.558592,-0.0386,-4e-04,-0.0772,0.1447,0.722,-0.0948
"290",464888.588743,0.202,0.0214,0.0906,0.1185,-0.2733,0.2421
"48",464888.618925,-0.0699,-0.2017,0.0083,-0.3467,0.1435,0.3677
"236",464888.649077,0.0659,-0.0782,0.0165,-0.1902,-0.1495,0.1528
"230",464888.679228,-0.0612,-0.1112,0.031,0.2435,-0.1499,-0.1087
"115",464888.70941,-0.0575,-0.1139,0.0263,-0.0527,-0.0015,0.2835
"239",464888.739561,-0.0182,-0.1156,0.065,-0.0087,-0.0473,0.2298
"282",464888.769713,-0.0128,-0.0753,0.0495,0.0194,0.0383,0.3492
"227",464980.381442,0.0195,0.0972,0.115,-0.8748,0.4281,1.013
"367",464980.411593,0.0262,0.1341,0.1226,-0.9715,0.5519,1.2651
"18",464980.441775,0.0044,0.1749,0.1136,-1.0005,0.5778,1.4043
